State/Crop/District,Season,2019 - 2020,2019 - 2020,2019 - 2020,2020 - 2021,2020 - 2021,2020 - 2021,2021 - 2022,2021 - 2022,2021 - 2022,2022 - 2023,2022 - 2023,2022 - 2023
State/Crop/District,Season,Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.)
Maharashtra,,,,,,,,,,,,,
1. Cotton(lint),,,Bales,Bales/Hectare,,Bales,Bales/Hectare,,Bales,Bales/Hectare,,Bales,Bales/Hectare
1. Ahilyanagar,Kharif,159250.0,146932,0.92,172800.0,399500,2.31,162600.0,277400,1.71,131229.17,255061.860,1.94
Total (Cotton(lint)),,159250.0,146932,0.92,172800.0,399500,2.31,162600.0,277400,1.71,131229.17,255061.860,1.94
2. Rice,,,,,,,,,,,,,
1. Ahilyanagar,Kharif,17331.0,19469,1.12,17595.34,33172.49,1.89,19551.469,37007.021,1.89,20579.65,34228.07,1.66
Total (Rice),,17331.0,19469,1.12,17595.34,33172.49,1.89,19551.469,37007.021,1.89,20579.65,34228.07,1.66
3. Soyabean,,,,,,,,,,,,,
1. Ahilyanagar,Kharif,70951.0,40505,0.57,84480.32,141300.37,1.67,99300.032,157052.931,1.58,110629.0,200692,1.81
Total (Soyabean),,70951.0,40505,0.57,84480.32,141300.37,1.67,99300.032,157052.931,1.58,110629.0,200692,1.81
