fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,unit,note
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Sugarcane,Whole Year,160000.0,17600000.0,110.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Jowar,Rabi,142520.05,118049.36,0.83,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Cotton(lint),Kharif,131229.17,255061.86,1.94,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Gram,Rabi,113139.7,112159.91,0.99,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Bajra,Kharif,110862.0,136744.0,1.23,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Soyabean,Kharif,110629.0,200692.0,1.81,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Wheat,Rabi,85790.86,191159.19,2.23,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Moong(Green Gram),Kharif,49101.39,39374.41,0.8,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Maize,Kharif,49098.0,97824.0,1.99,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Maize,Rabi,46177.56,108212.49,2.34,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
2022-23,Maharashtra,Ahmednagar,Ahilyanagar,466,Urad,Kharif,30794.15,31345.37,1.02,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",0.0
